Quality Attribute,Resource utilization,Co-existence,Installability,Availability,Authenticity,Appropriateness recognizability,User interface aesthetics,Time behaviour,Functional completeness,Modifiability,Learnability,Recoverability,Operability,Modularity,Maturity,Functional correctness,Confidentiality,Functional appropriateness,Adaptability,Capacity,Reusability,Fault tolerance,Integrity,Accessibility,User error protection,Testability,Analysability,Interoperability,Accountability,Non-repudiation,Replaceability
microsoft-microsoft-azure,"0|1|0
0.5","7|46|59
0.67","2|3|13
0.72","6|21|30
0.65","3|4|3
0.5","2|2|8
0.68","11|13|46
0.68","16|23|41
0.61","0|1|3
0.77","3|13|28
0.7","2|13|28
0.72","3|10|19
0.68","2|13|119
0.81","1|0|0
0.14","3|14|60
0.77",,"2|9|15
0.68",,"0|1|3
0.77","4|33|60
0.71","0|0|1
0.86","1|3|18
0.78","1|6|10
0.69","0|1|3
0.77",,,,"0|1|1
0.68",,,
microsoft-outlook,"6|3|0
0.26","41|236|545
0.72","2|4|19
0.74","76|32|39
0.41","3|3|0
0.32","0|5|1
0.56","36|31|122
0.66","50|37|70
0.55","5|5|11
0.6","18|31|46
0.61","6|6|14
0.61","4|12|5
0.52","41|43|595
0.79",,"3|16|97
0.79","0|0|1
0.86","5|10|7
0.53","0|0|1
0.86","3|8|14
0.66","4|13|13
0.61",,"2|6|17
0.72","2|2|3
0.55","0|4|6
0.72","1|2|1
0.5",,,,"1|3|0
0.41","0|0|2
0.86",
microsoft-sql-server,"36|121|12
0.45","90|509|319
0.59","47|195|109
0.56","37|94|70
0.56","32|254|13
0.48","6|49|13
0.54","14|63|110
0.68","163|393|336
0.57","1|6|10
0.69","17|60|72
0.63","16|42|87
0.68","50|236|118
0.56","23|58|494
0.79","0|5|1
0.56","15|68|264
0.76","5|36|4
0.49","23|138|25
0.5","3|32|4
0.51","2|14|10
0.61","26|122|90
0.6","1|1|2
0.59","21|105|114
0.64","4|45|27
0.61","0|2|4
0.74","5|6|3
0.45",,"1|5|1
0.5","2|11|7
0.59","0|11|6
0.63",,
microsoft-sql-server 2005,,"1|3|0
0.41","0|3|0
0.5",,"0|1|0
0.5",,,"1|1|0
0.32",,,,,,,,,,,,"0|1|0
0.5",,,"0|1|0
0.5",,,,,,,,
mongodb,"10|34|3
0.45","16|103|59
0.59","9|98|34
0.56","14|48|28
0.56","12|83|8
0.49","4|43|14
0.56","6|35|15
0.56","37|164|168
0.63","0|1|2
0.74","2|20|35
0.71","10|26|29
0.61","8|83|17
0.53","4|11|82
0.79","0|9|2
0.57","6|18|40
0.69","2|8|0
0.43","3|26|4
0.51","1|8|0
0.46","0|6|4
0.64","9|52|81
0.68","0|1|0
0.5","6|45|34
0.62","5|19|3
0.47","0|2|1
0.62","0|5|0
0.5",,"0|2|0
0.5","0|3|0
0.5","1|6|0
0.45","0|2|0
0.5",
mongodb 4,,,,,,,,,,,,,,,,,,,,"0|0|1
0.86",,,,,,,,,,,
mysql,"30|112|14
0.46","85|214|224
0.6","57|332|183
0.58","102|126|56
0.44","40|217|7
0.45","10|105|23
0.53","32|79|91
0.61","220|447|300
0.53","7|7|12
0.57","8|45|61
0.67","19|53|95
0.66","39|271|51
0.51","23|39|471
0.8","3|8|0
0.4","51|63|219
0.68","15|38|3
0.42","31|104|37
0.51","6|31|2
0.46","5|12|28
0.68","87|162|105
0.52","0|2|0
0.5","37|108|71
0.56","19|52|43
0.58","2|6|9
0.65","22|44|1
0.39",,"1|6|0
0.45","0|5|1
0.56","2|3|0
0.36","1|1|0
0.32",
mysql 3,,,,,"0|1|0
0.5",,,,,,,,,,,,,,,,,,,,,,,,,,
mysql 4.1,,,"0|1|0
0.5","0|1|0
0.5",,,,,,,,"0|1|0
0.5",,,,,,,,,,,,,,,,,,,
mysql 5,,"1|2|0
0.38",,,"1|0|0
0.14",,,,,,,,,,,,,,,,,,,,,,,,,,
mysql 8,,"0|1|0
0.5",,,"1|2|0
0.38",,,"0|1|0
0.5",,,,"1|1|0
0.32",,,,,,,,"0|1|0
0.5",,,,,,,,,,,
mysqld 8,,,,"0|3|0
0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,
neo4j-graph-database,"0|3|0
0.5","2|6|9
0.65","3|0|0
0.14","0|2|1
0.62","0|1|0
0.5","0|0|4
0.86","1|2|9
0.74","3|11|20
0.68",,"0|2|1
0.62","3|3|7
0.61","0|4|1
0.57","1|2|14
0.78",,"0|3|7
0.75",,"0|2|1
0.62",,,"1|1|3
0.64",,"0|1|4
0.79",,,,,,"0|1|0
0.5",,,
nginx,"6|24|1
0.44","2|29|3
0.51","21|265|29
0.51","9|21|0
0.39","3|49|5
0.51","0|59|13
0.56","5|11|1
0.42","28|131|23
0.49","0|1|0
0.5","1|14|1
0.5","2|15|1
0.48","1|13|0
0.47","0|0|2
0.86","0|3|1
0.59","2|8|6
0.59","1|7|0
0.46","3|50|1
0.49","1|3|0
0.41","0|1|0
0.5","3|34|1
0.48",,"0|7|1
0.55","0|5|0
0.5","0|1|0
0.5","0|1|0
0.5","0|1|0
0.5","0|2|0
0.5","0|2|0
0.5","0|1|1
0.68",,
nltk,"0|1|0
0.5","0|1|1
0.68","0|0|1
0.86","0|1|0
0.5",,"0|1|1
0.68",,"1|4|2
0.55",,,"0|2|7
0.78",,"0|1|8
0.82",,,,,,,"1|1|0
0.32",,,,,,,,,,,
node.js,"0|1|5
0.8","2|0|1
0.38","0|4|1
0.57",,"2|0|0
0.14",,"0|2|1
0.62","5|10|10
0.57",,,"1|1|4
0.68",,"0|0|4
0.86",,"0|0|4
0.86",,"0|2|2
0.68",,"0|1|4
0.79","1|2|2
0.57",,"1|0|4
0.72",,,"1|0|0
0.14",,,,,,
numpy,"21|317|26
0.5","28|103|20
0.48","19|154|8
0.48","8|7|0
0.31","0|1|0
0.5","1|45|9
0.55","2|5|2
0.5","90|471|142
0.53","0|1|1
0.68","0|3|3
0.68","1|17|4
0.55","1|6|0
0.45","1|5|9
0.69","1|5|0
0.44","2|23|9
0.57","9|96|8
0.5","1|7|0
0.46","3|79|7
0.52","0|10|1
0.53","5|35|15
0.57","0|3|1
0.59","2|14|6
0.57","0|2|0
0.5","2|8|2
0.5","1|8|1
0.5","0|3|0
0.5","1|2|0
0.38","0|2|1
0.62",,,
numpy 1,,"1|0|0
0.14","1|0|0
0.14",,,,,"0|0|1
0.86",,,,,,,,,,,,,,,,,,,,,,,
numpy-download,"1|1|2
0.59","1|0|0
0.14","0|1|0
0.5",,,"0|1|0
0.5",,"0|3|9
0.77","0|0|1
0.86","0|0|1
0.86","0|2|0
0.5",,"0|0|5
0.86","0|1|0
0.5",,,,,,,,,,,,,,,,,
numpyied 9,,,"0|1|0
0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
opencv,"9|36|4
0.46","15|29|9
0.46","13|60|10
0.49","5|1|0
0.2","0|0|1
0.86","2|73|21
0.57","7|30|2
0.45","12|49|15
0.51",,"1|4|3
0.59","0|6|1
0.55","1|2|0
0.38","1|1|4
0.68",,"2|10|2
0.5","1|4|0
0.43","0|6|0
0.5","1|3|0
0.41","0|1|2
0.74","2|8|1
0.47","0|0|1
0.86","1|6|0
0.45","0|1|0
0.5","0|4|1
0.57",,,,"0|1|0
0.5",,,
opencv 3,,,"0|1|0
0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
opencv 4,,"1|0|0
0.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opencv 7,"0|1|0
0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opengl,"9|45|5
0.48","9|34|8
0.49","3|9|0
0.41","7|3|0
0.25","1|0|0
0.14","2|17|12
0.62","2|17|1
0.48","7|31|6
0.49",,"0|1|0
0.5","0|1|0
0.5","2|1|0
0.26",,"0|3|1
0.59","0|1|2
0.74","1|0|0
0.14","0|2|0
0.5",,"1|12|3
0.54","0|3|0
0.5",,"2|0|0
0.14","0|1|0
0.5","0|2|0
0.5","1|3|0
0.41",,,,,,
oracle-database,"7|35|19
0.57","34|133|103
0.59","31|163|33
0.5","30|87|127
0.64","1|23|1
0.5","9|691|49
0.52","13|40|41
0.61","92|273|345
0.63","1|6|6
0.64","15|36|37
0.59","19|21|12
0.45","14|75|90
0.65","17|11|126
0.75","1|2|0
0.38","11|53|265
0.78","3|17|3
0.5","14|59|36
0.57","0|11|3
0.58","2|7|11
0.66","15|71|99
0.66","1|1|0
0.32","11|38|100
0.72","4|41|44
0.66","1|3|5
0.66","7|4|1
0.32","0|1|0
0.5","1|9|2
0.53","0|8|1
0.54","0|11|10
0.67",,
pandas,"24|777|33
0.5","21|59|11
0.46","9|150|7
0.5","5|6|0
0.34","0|5|0
0.5","2|64|18
0.57","0|5|2
0.6","67|235|76
0.51","0|2|0
0.5","2|14|8
0.59","1|21|2
0.52","0|11|0
0.5","1|5|11
0.71","0|11|1
0.53","2|13|7
0.58","9|108|7
0.49","1|8|0
0.46","5|98|7
0.51","0|3|2
0.64","11|31|22
0.56","0|3|0
0.5","3|9|4
0.52","1|9|0
0.46","0|8|5
0.64","1|4|0
0.43","0|2|0
0.5","0|1|0
0.5",,,,
pandas 1,,,,"0|1|0
0.5",,"0|1|0
0.5",,,,,,"0|1|0
0.5",,,,,,,,,,"0|1|0
0.5",,,,,,,,,
pandas-python,"2|2|0
0.32","3|4|5
0.56","0|0|4
0.86","1|0|0
0.14",,"0|3|0
0.5","0|1|0
0.5","4|6|5
0.52",,"0|1|3
0.77","4|5|4
0.5","0|1|0
0.5","0|2|20
0.83","0|1|0
0.5","0|1|3
0.77",,,,"0|0|1
0.86","4|8|9
0.59",,"0|1|3
0.77",,,,,,"0|0|1
0.86",,,
plotly-dash,,"0|0|2
0.86","0|0|1
0.86",,,"1|3|2
0.56","0|1|5
0.8","0|4|1
0.57",,"1|1|2
0.59","2|0|0
0.14",,"0|0|8
0.86","0|1|0
0.5","0|0|3
0.86",,,,,"1|1|0
0.32",,"1|0|1
0.5",,"1|0|0
0.14","1|0|0
0.14",,,,,,
postgresql,"5|46|3
0.49","20|91|60
0.58","18|107|41
0.55","20|32|28
0.54","5|46|1
0.47","1|23|6
0.56","14|19|19
0.53","43|128|109
0.58","0|1|2
0.74","3|20|25
0.67","4|21|18
0.62","9|71|26
0.56","10|9|91
0.77","0|2|1
0.62","11|33|117
0.74","1|8|1
0.5","5|29|1
0.46","1|7|1
0.5","0|7|1
0.55","4|51|44
0.65","0|1|0
0.5","10|42|49
0.64","7|21|10
0.53","0|3|1
0.59",,,"0|1|2
0.74","0|2|0
0.5","1|2|1
0.5","0|0|1
0.86",
postgresql 12,,,"0|1|0
0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
postgresql 13,,"1|0|0
0.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pygame,"0|1|1
0.68",,,,,"0|0|1
0.86","0|5|3
0.64","2|0|4
0.62",,,"1|1|9
0.76",,"1|0|11
0.8",,"0|1|2
0.74",,,,"0|1|1
0.68",,,,,,,,,,,,
pyspark,"1|7|2
0.54","4|7|0
0.37","2|21|3
0.51","0|2|0
0.5","1|0|0
0.14","0|6|0
0.5","1|2|0
0.38","5|26|8
0.53",,"0|4|1
0.57",,,,"0|1|0
0.5","0|3|0
0.5","0|22|2
0.53",,"0|20|2
0.53","0|1|0
0.5","1|6|4
0.6",,"0|2|0
0.5",,"0|1|0
0.5",,,,,,,
pyspark 2,,,,,,,,,,,,,,,,"2|0|0
0.14",,"2|0|0
0.14",,,,,,,,,,,,,
python-pillow,,,,,,"0|0|1
0.86",,"0|0|1
0.86",,,,,"0|0|7
0.86","1|0|0
0.14",,,,,,,,,,,,,,,,,
pytorch,"19|87|13
0.48","11|13|9
0.48","8|30|3
0.46","1|1|1
0.5","0|1|0
0.5","1|35|4
0.53","0|2|0
0.5","13|21|9
0.47","2|0|0
0.14","0|1|2
0.74","1|6|3
0.57",,"0|0|4
0.86","0|0|1
0.86","1|2|3
0.62",,,,"0|1|0
0.5","1|2|2
0.57",,"0|1|3
0.77",,,,,,,,,
pytorch 1,"0|1|0
0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pytorch 3,,,"0|1|0
0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
quick-base,"0|3|1
0.59","34|120|102
0.6","4|9|18
0.66","10|23|12
0.52","1|1|0
0.32","1|3|3
0.6","18|16|28
0.56","20|54|55
0.6","2|3|4
0.58","25|67|62
0.59","7|17|38
0.68","2|5|5
0.59","18|20|103
0.72",,"9|28|43
0.65","10|6|0
0.28","0|11|5
0.61","0|3|1
0.59","0|2|7
0.78","6|12|16
0.61","0|1|2
0.74","6|11|20
0.64","0|9|0
0.5","0|0|2
0.86","1|0|0
0.14",,"1|1|1
0.5","0|3|0
0.5","1|4|4
0.62","1|1|1
0.5",
rapidminer-studio,"3|6|3
0.5","3|13|17
0.65","1|2|3
0.62","4|4|6
0.55",,"7|26|45
0.68","7|19|32
0.66","15|18|36
0.61","0|1|3
0.77","3|6|5
0.55","4|13|22
0.67","0|0|1
0.86","3|11|145
0.82","0|0|4
0.86","1|3|12
0.75",,"0|1|0
0.5",,,"10|7|8
0.47","0|1|0
0.5","0|1|7
0.81","0|1|0
0.5","0|1|0
0.5","0|0|1
0.86",,"0|1|1
0.68","0|2|0
0.5",,,
redis,"0|1|4
0.79","1|1|5
0.71","1|0|8
0.78","0|2|0
0.5","0|2|2
0.68","1|1|1
0.5","3|1|1
0.36","1|14|25
0.72","0|0|1
0.86","0|0|1
0.86","1|0|1
0.5","0|2|0
0.5","1|0|9
0.79",,"1|2|9
0.74",,,,,"0|4|1
0.57",,"0|3|2
0.64",,,,,,,,,
redis 3,,,,,,,,,,,,,,,,,,,,,,"0|1|0
0.5",,,,,,,,,
requests,,,"0|0|1
0.86",,,,,,,,,,"0|0|3
0.86",,,,,,,,,,,,,,,,,,
scikit-learn,"1|0|0
0.14","1|2|6
0.7","0|0|1
0.86","0|1|1
0.68",,"0|5|7
0.71","0|0|1
0.86","2|1|2
0.5","0|0|1
0.86","1|1|1
0.5","1|2|2
0.57",,"0|0|14
0.86",,"1|1|7
0.74",,,,"0|1|0
0.5","1|2|4
0.65",,"1|0|5
0.74",,,,,,,,,
scipy,"1|34|1
0.5","13|67|4
0.46","7|18|2
0.43","1|1|0
0.32",,"0|9|6
0.64","0|1|0
0.5","10|43|9
0.49","0|1|0
0.5","0|1|0
0.5","0|2|0
0.5","0|1|0
0.5",,,"1|6|7
0.65","2|10|1
0.47","0|3|0
0.5","2|7|1
0.46",,"0|3|0
0.5",,"1|5|5
0.63",,,,"0|1|0
0.5","0|1|0
0.5","0|1|1
0.68",,,
scipy 1,,,"0|1|0
0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
scrapy,"1|5|0
0.44","0|9|6
0.64","2|6|4
0.56","0|1|0
0.5","2|0|0
0.14","1|34|5
0.54","2|5|0
0.4","5|9|2
0.43",,"0|1|1
0.68","1|3|2
0.56",,"0|0|1
0.86",,"0|3|3
0.68","0|3|0
0.5",,"0|2|0
0.5",,"0|7|1
0.55",,"0|1|1
0.68",,,,"0|1|0
0.5",,,,,
selenium,"3|22|1
0.47","31|99|15
0.46","7|95|8
0.5","9|20|2
0.42","5|23|1
0.45","2|46|14
0.57","13|70|8
0.48","22|102|15
0.48","0|1|0
0.5","1|3|0
0.41","0|10|4
0.6","0|1|0
0.5","2|2|6
0.64","1|1|0
0.32","4|21|13
0.59","0|9|4
0.61","7|4|1
0.32","0|8|4
0.62","0|2|0
0.5","0|6|2
0.59","0|1|0
0.5","1|8|3
0.56","1|1|0
0.32","1|2|0
0.38","2|3|0
0.36","2|11|0
0.44",,,,,
selenium 1,,,,,,,,,,,,,,,"0|1|0
0.5",,,,,,,,,,,,,,,,
selenium 3,,,,,,,,,,,,,,,"0|0|1
0.86",,,,,,,"0|0|1
0.86",,,,,,,,,
selenium 4,,"1|0|0
0.14",,,,,,,,,,,,,"1|0|0
0.14",,,,,,,,,,,,,,,,
spark,"13|129|9
0.49","37|110|26
0.48","6|104|10
0.51","8|23|3
0.45","4|11|2
0.46","0|29|7
0.57","12|104|12
0.5","63|285|91
0.52","0|2|0
0.5","1|8|3
0.56","4|22|6
0.52","2|11|1
0.47","3|2|12
0.69","1|19|1
0.5","3|16|7
0.56","4|37|2
0.48","2|13|1
0.48","1|34|2
0.51","2|3|2
0.5","23|98|49
0.56","0|1|0
0.5","5|23|7
0.52","2|5|1
0.46","0|2|0
0.5","0|3|0
0.5","0|3|0
0.5","0|2|0
0.5","0|5|0
0.5","0|1|0
0.5",,
spark 2,,"1|2|0
0.38","0|1|0
0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
spark 3,,"0|3|0
0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
spark 3.1,,,,,,,,"0|0|1
0.86",,,,,,,,,,,,,,,,,,,,,,,
splunk-soar,,"4|14|23
0.67","2|2|4
0.59","2|1|3
0.56",,,"3|2|5
0.57","3|14|45
0.74",,"3|6|3
0.5","5|0|0
0.14","2|1|0
0.26","3|1|8
0.65",,"0|1|5
0.8","1|0|0
0.14","1|9|9
0.65",,"0|0|1
0.86","0|1|5
0.8","0|0|1
0.86","1|1|3
0.64","1|2|3
0.62",,,,"0|1|1
0.68",,,"0|1|1
0.68",
sqlite,"0|4|1
0.57","4|7|28
0.72","1|1|27
0.82","3|4|4
0.53",,"0|0|1
0.86","0|4|9
0.75","4|13|21
0.66","1|2|3
0.62","0|0|2
0.86","0|1|8
0.82","0|4|1
0.57","2|3|54
0.82",,"1|4|22
0.78",,"3|3|1
0.4",,"0|5|4
0.66","10|7|4
0.4",,"1|2|9
0.74","1|1|1
0.5",,,,,,,,
tensorflow,"68|453|39
0.48","55|131|35
0.47","25|147|27
0.5","4|8|3
0.48","0|1|0
0.5","9|117|26
0.54","1|10|0
0.47","38|117|44
0.51","2|0|0
0.14","4|9|7
0.55","5|27|8
0.53","1|18|1
0.5","1|5|15
0.74","2|4|1
0.45","3|8|10
0.62","0|9|0
0.5","1|4|1
0.5","0|5|0
0.5","1|4|3
0.59","3|10|9
0.6","0|4|1
0.57","1|2|6
0.7","2|0|0
0.14","0|2|0
0.5","0|0|1
0.86",,,,,,
tensorflow 1,"1|0|0
0.14","1|1|0
0.32",,,,"0|3|0
0.5",,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow 1.7,,,"1|0|0
0.14",,,,,,,,,,,,,,,,,,,,,,,,,,,,
tensorflow 2,"1|1|0
0.32","1|5|2
0.55","0|1|0
0.5",,,,,,,,,,,,,,,,,,,,,,,,,,,,
